pc4,pc4name,mun,munname,pricem2,distcbd,shhistdistr,popdens,shforeign,shlandinfr,shlandres,shlandmanuf,shlandother,shopenspace,shyoungp,shelderly,hhsize,dumRS,RSdistcbd,_est_Netherlands,_est_Model2,_est_Model3,_est_Model4,lnpricem2,lndistcbd,lnRSdistcbd
4311,BRUINISSE,1676,Schouwen-Duiveland,86.77792794940721,22.46028640267,0,3.324522976201049,.0614805520702635,.0973820740652394,.0539089987476892,.0171149144254279,.1076987297990339,.7238952829626096,.2572145545796738,.1693851944792974,2.48,0,0,1,1,1,1,4.4633522,3.1117487,0
1056,VAN GALENBUURT,363,Amsterdam,533.2050080393202,2.56894736614,0,168.7021224747392,.5086968919304249,.0396039603960396,.6792079207920793,.0996699669966997,0,.1815181518151815,.1890504704875962,.0778443113772455,1.7,1,2.5689473,1,1,1,1,6.2789059,.94349623,2.4237921
7422,COLMSCHATERENK,150,Deventer,224.1180010939767,3.65305769596,0,42.23441583686729,.15,.1524090462143559,.5181907571288102,.071779744346116,.0766961651917404,.1809242871189774,.2592592592592592,.1166666666666667,2.38,0,0,1,1,1,1,5.4121728,1.2955645,0
8806,ACHLUM,70,Franekeradeel,25.45416314887959,20.764401125,.0196500997397411,1.067198441867597,.046875,.0172540768016833,.025039452919516,0,.0005260389268806,.95718043135192,.28125,.1171875,2.46,0,0,1,1,1,1,3.2368793,3.0332401,0
5045,BUITENGEBIED WEST,855,Tilburg,240.6956699468376,7.144718914,0,49.92262432823442,.1533945890760592,.034860883797054,.6829787234042554,.016366612111293,.0592471358428805,.2065466448445172,.3384379785604901,.0487493619193466,2.86,0,0,1,1,1,1,5.4835334,1.9663734,0
9969,WESTERNIELAND,1663,De Marne,26.0061736569534,21.92062216818,0,.3160651640490491,.0545454545454545,.0248764027309111,.0054147375029428,0,.0082398179392608,.9614690418268853,.1636363636363636,.1454545454545454,2.08,0,0,1,1,1,1,3.2583339,3.0874279,0
4221,MINKELOOS EN HOGE GIESSEN,689,Giessenlanden,49.56030498060867,17.93233018015,0,1.880393561626076,.0448275862068966,.0596292650918635,.030757874015748,.0153379265091864,.000246062992126,.8940288713910761,.2620689655172414,.1275862068965517,2.56,0,0,1,1,1,1,3.9031901,2.8866053,0
9284,AUGUSTINUSGA,59,Achtkarspelen,34.55399427069067,13.06510196516,0,1.799073737958278,.0300751879699248,.0267629192710626,.0460427854564662,.0076591249229686,.0013205387798222,.9182146315696804,.3082706766917293,.093984962406015,2.67,0,0,1,1,1,1,3.5425231,2.5699446,0
5872,STOKT,1507,Horst aan de Maas,39.99468300655643,12.16037324592,0,1.382332420359054,.0569620253164557,.0215907819666629,.0268486407875601,0,.0003356080098445,.9512249692359325,.2468354430379747,.1582278481012658,2.45,0,0,1,1,1,1,3.6887465,2.4981825,0
8751,ZURICH,710,Wûnseradiel,46.83388605826777,28.70709168568,0,.4847536438417951,.0789473684210526,.1288394487796779,.012784326747468,.0049809065249875,.0308816204549228,.8225136974929437,.1578947368421053,.1578947368421053,2.2,0,0,1,1,1,1,3.846607,3.3571441,0
